display_id,source_pair,rater_A_is
item_01,pair_04,original
item_02,pair_20,corrected
item_03,pair_15,corrected
item_04,pair_19,original
item_05,pair_11,corrected
item_06,pair_07,original
item_07,pair_01,corrected
item_08,pair_06,original
item_09,pair_05,corrected
item_10,pair_16,corrected
item_11,pair_02,original
item_12,pair_03,corrected
item_13,pair_08,original
item_14,pair_18,corrected
item_15,pair_13,corrected
item_16,pair_14,original
item_17,pair_09,corrected
item_18,pair_12,original
item_19,pair_10,corrected
item_20,pair_17,original
